DV2,DV1,Productissues,BO,Advertisingassets,RDassets,Size,Profit,Liquidity,Leverage,Capitalintensity,Retainedearnings,Relativeperformance,Concentration,Salesgrowth,Salesturbulence,Industrycompetition,Industrygrowth,Industryturbulence
.34960955,.09787453,-.226843,-.0031949219,-.4091523,-.67425632,.069908239,.32410538,.61834198,1.385779,.16549124,.30008164,-.37895459,-.42005453,.63714141,-.6625573,-.18366632,.61000431,-.52487582
.31494796,.36394554,-.226843,-.40898699,-.4091523,-.67425632,.076006778,.34347385,.72153777,1.5534893,-.16115232,.32719281,-.38445342,-.44768348,.9928484,-.4273763,-.043092594,.83896804,-.42498007
.44702095,.13349088,-.226843,-.26601553,-.4091523,-.67425632,.12228865,.15117009,.30410385,1.0622709,.13194665,.31522322,-.37475941,-.44982421,.81661987,-.60994667,-.22941437,.72553217,-.50252885
.41388541,-.12498935,-.226843,-.15888333,-.4091523,-.67425632,.19055031,.23935379,-.063640013,.69786417,.27947935,.32385871,-.38311198,-.44105119,.28318661,-.13304795,-.26240969,.38216847,-.29996076
.37952051,-.25805339,-.226843,-.87104267,-.4091523,-.67425632,.32727396,.15860553,-.19476658,2.5791488,.032469813,.2930831,-.37375212,-.48793989,.2475377,-.18189082,-.25014156,.35922173,-.32070732
.29442403,-.2281446,-.226843,-.99898469,-.4091523,-.67425632,.31265351,.12448858,-.011232562,1.7210554,-.021181019,.31186756,-.37626177,-.47991753,.31764111,-.11412322,-.45586559,.40434632,-.29192227
.21027026,-.15626995,-.226843,-.44623914,-.4091523,-.67425632,.32821745,.17397226,.11840333,1.2817516,-.097787432,.32735291,-.3630197,-.375375,.46663696,-.45150355,-.48603934,.5002529,-.43522838
.15784642,-.1190788,-.226843,-.3059653,-.4091523,-.67425632,.12727682,-.28786108,.30123499,-.28573123,-.052929003,.39629555,-.2451603,-.37468201,.19351926,-.14012548,-.65634453,.32445079,-.30296704
.10446741,-.17868438,-.226843,-.13139388,-.4091523,-.67425632,.10070025,.14016305,.40966392,-.16218093,.098171018,.4215104,-.30847025,-.30508024,-.77671003,.14520992,-.63538778,-.30007249,-.1817676
.082533829,-.60291529,-.226843,-.5183028,-.4091523,-.67425632,.12338539,.17551942,.35749987,-.35811242,.24746157,.4305841,-.36899343,-.28693831,-1.2214948,-.40314797,-.63253063,-.5863744,-.4146888
.26730925,-.44847333,-.226843,-.021050224,-.4091523,-.67425632,.13071644,.27549297,.53431106,-.43590587,.032189906,.43202868,-.3696495,-.4186807,-1.1385666,-.21424809,-.64329129,-.53299463,-.33445144
.13439868,-.75660968,-.226843,-.67270678,-.4091523,-.67425632,.12805882,.32289192,.49246877,-.33851308,.17868479,.42094031,-.36150679,-.42527989,-.79244018,-.20729069,-.50184506,-.3101978,-.33149621
.043702196,-.14280888,-.226843,-.2554822,-.4091523,-.67425632,.29784715,.032216065,1.1359338,1.8305017,.049294744,.34936649,-.38981459,-.33644778,-.11819655,-.75020772,-.53394687,.1238036,-.56210637
.15754983,.27696371,-.226843,.32179844,.2081375,-.67225325,-1.2359686,.23143752,-.5384956,1.4999909,-.66541916,.18028532,-.33340475,3.7549746,2.2881334,2.0042164,.69021153,1.6727252,.60786641
.066896968,.58729029,-.226843,-.044814579,.55839056,-.67063046,-1.4692832,-1.3204185,-.60861653,.091734536,-.36989707,.085856691,-.36263111,-.35402882,1.9901271,.92829382,.60240602,1.4809027,.15085612
-.27853143,.19960065,-.226843,-.34694275,.41089296,-.66839164,-1.4883254,.15843908,-.056593318,-.3786667,-.81734639,.10264752,-.36608791,-.10459214,.43565702,2.7945192,1.1725054,.48031157,.94355643
.39342269,1.0326841,-.226843,-.79024392,.18487471,-.66983384,-1.4568583,.65248561,.40435711,-.41280857,-.86605871,.15614922,-.35636958,-.10907099,-1.0221803,1.9346932,1.2718729,-.45807838,.57833564
.45159,1.1345723,-.226843,-.24225128,-.0073928759,-.67127323,-1.3659133,.72291416,.48514766,-1.0329472,-.99319762,.20958224,-.3547563,-.45577791,-1.9170597,.25383368,2.1385951,-1.0340999,-.13562843
.60272574,1.0870588,-.226843,-.17596801,-.27175227,-.673612,-.66396761,.0782151,-.64562494,-.00013367859,-.92571473,.18215977,-.38845721,-.49527907,-1.5098379,.59078878,2.4238887,-.77197689,.0074970578
.47172815,1.7908536,-.226843,-.34283215,-.2181554,-.67382276,-.57091427,.1633831,-.78244233,.22483583,-1.0336996,.18135048,-.36612746,-.28442785,.028376391,.2965664,2.3908718,.2181506,-.11747723
.61912155,.72677827,-.226843,-.19870466,-.2456729,-.6740163,-.37274492,-.1099999,-.94451851,1.3260818,-.84040987,.15986109,-.39740872,-.28403735,.87154037,.63484675,2.0343876,.76088369,.026211184
.5654307,.69274455,-.226843,-.42453009,-.20037201,-.67402571,-.47129947,-.55962431,-.94710124,.26729637,-.97490197,.099793985,-.42320269,-.2500701,1.6521305,.37210649,1.8471348,1.2633389,-.085390709
.53050309,.068552025,-.226843,.062831476,-.16327058,-.67404658,-.54039556,-.093641289,-.85190296,1.4101014,-.98366958,.08196307,-.39541924,-.26897863,1.6584007,-.72988951,2.6548929,1.267375,-.55347598
.54807514,.74254656,-.226843,.43895021,-.24434927,-.67406887,-.59996432,-.16869204,-.88288468,.50730103,-.96266025,.055664074,-.40927762,-.19949231,.59989178,.63509953,1.9470206,.5860272,.026318539
.56732363,.73188955,-.226843,.55635887,-.31415546,-.67411226,-.57840294,.24204679,-.81475055,.39085528,-.86964178,.077028617,5.0176973,-.22867559,-.29072893,.5231182,1.7623681,.01274687,-.021246782
.18628599,.50293863,2.6078825,.81763804,-.4091523,-.072878987,1.8883771,.55927098,-.99848461,-.31613505,-.088561192,.35308468,-.17479028,-.53589743,-.091280818,-.90079623,-.3730033,.14112888,-.6260705
.3230916,.9407565,-.226843,.75456631,-.4091523,.041085973,1.9239144,.69824153,-.97555196,-.27679428,-.2144583,.33790973,5.0176973,-.53613716,-.010739477,-.77456826,-.4261581,.19297224,-.57245374
.23190288,.80786681,5.4426079,.61570549,-.4091523,.013085911,2.0022039,.68496555,-.60069764,-.074685022,-.37789086,.36307871,1.7516176,-.56228369,.22622526,-.7702319,-.44999894,.34550321,-.57061183
.20244561,.70442188,-.226843,1.0615757,-.4091523,.084352143,2.0022039,.47235894,-1.2176365,.15142569,-.45237896,.3360621,5.0176973,-.5676499,.17848706,-.82231188,-.42892769,.31477478,-.59273338
.14398041,.59545386,5.4426079,1.0125057,-.4091523,.24576014,2.0022039,.47667095,-.92537194,-.16731881,-.47490266,.3409895,5.0176973,-.5676499,.2925702,-.96677846,-.45773041,.38820854,-.6540972
.16581173,.46062976,5.4426079,.66387641,-.4091523,.26216289,2.0022039,.54510885,-.19691034,-.069213256,-.545394,.34214741,.57987756,-.5676499,.235356,-.96449918,-.45108101,.35138056,-.65312904
.16408682,.3759031,5.4426079,1.041922,-.4091523,.63472855,1.930658,.32321391,-.42845985,-.45306864,-.42982718,.43492278,.20093794,-.5676499,.10180858,-.9266597,-.57006472,.2654179,-.63705635
.3486068,.22321561,5.4426079,.7265628,-.4091523,.54694337,1.9091686,.23111582,-1.0530628,-.4296433,-.38824332,.41562501,.1347162,-.5676499,-.93426579,1.2358886,-.64298052,-.40148899,.2815105
.40288386,.036407966,5.4426079,.42404941,-.4091523,.44076261,1.9088024,.37467161,-1.0202343,-.33523124,-.42032409,.43386313,.15298294,-.5676499,-1.8744311,.96283537,-.44962984,-1.0066606,.16552803
.23227301,.60683554,5.4426079,-.036208022,-.4091523,.13326061,2.0022039,.087374732,.43559313,.59816915,-.62176508,.36649662,5.0176973,-.5676499,-2.1635835,.77806693,-.41800535,-1.27967,.087045558
.14010337,.2543785,5.4426079,.15442047,-.4091523,-.10982374,2.0022039,-.01655685,-.87060732,.24334779,-.67812645,.30086908,2.2196555,-.56716686,-1.9598646,1.5292939,-.41088739,-1.0616529,.40613768
.03666991,.2634896,5.4426079,.2027199,-.4091523,-.023584105,2.0022039,.18467799,-1.2251467,-.25532937,-.59367907,.31120586,3.0568826,-.54740608,-.15147555,.0058990358,-.44643587,.10238237,-.24094146
-.20310837,.50658125,5.4426079,-.022077927,-.4091523,-.014218255,2.0022039,.3154068,-1.2969675,-.38691756,-.46482205,.31316063,5.0176973,-.55306202,.38277653,-.2864998,-.50159913,.44627312,-.36514115
-.068292968,-.045608252,2.6078825,.32398209,-.4091523,-.045601502,2.0022039,.3643001,-1.036029,-.49115565,-.4156329,.31400925,.036069565,-.55250138,.45977759,-.60252619,-.62135702,.49583763,-.49937695
.81307679,-1.5638105,-.226843,1.9842743,3.3617113,.42364398,1.2223908,-2.0022957,-1.116845,2.0940819,1.3556651,.015580983,-.4165383,-.50024897,.93900031,-.077935979,-1.1672471,.80430675,-.27655134
.59409034,-.24768418,-.226843,1.0581074,4.1519785,1.6187265,1.0020015,-2.1491201,-1.5799644,2.8457508,2.3504014,-.29883361,-.41104668,-.49754184,.31943947,-.13279113,-1.1672471,.40550393,-.29985169
.62091142,-.070044264,-.226843,.5494222,3.0505195,1.6413082,1.0925276,.23147225,-.42448726,1.4215744,1.427615,-.20773351,-.34632546,-.49439624,-.33298177,-.67694682,-1.1672471,-.014450699,-.53098798
.920744,-.21534184,-.226843,1.6012188,3.387008,3.8551002,.76704526,.58650529,.462488,.72790849,-.40652302,-.47834173,-.29299134,-.5042454,-.70752341,-.83608449,-1.1672471,-.25553805,-.59858346
.86373967,-.59254277,-.226843,2.0108645,1.8731414,3.8729219,.76595753,.62015581,-.055754233,.99670643,-.37009358,-.42255083,-.23441643,-.49672958,-.44347703,-.49327067,-1.1331834,-.085574992,-.45296943
.90059751,.056339823,-.226843,1.6622354,1.2868202,3.8729219,.65063149,-2.0236502,-.48279619,2.1359181,-.25189731,-.73457372,-.33714131,-.53129828,-.34785214,-.479976,-1.1136532,-.02402257,-.44732237
1.1999792,-.077920742,-.226843,2.2143385,.52936137,3.8729219,.69424236,-.17536566,-.065749258,1.4315249,-.80971175,-.67578739,-.15767884,-.54259765,-.54341531,-.13429622,-1.1228617,-.14990389,-.30049098
.7800706,-.31661218,-.226843,1.1486689,.23916213,3.8729219,.61827445,-.76232708,.22450632,1.9744689,-.80713576,-.86568439,.25799289,-.52015233,-.78577942,-.031886715,-1.1225561,-.30591038,-.25699139
.67551619,-1.2823795,-.226843,1.6280659,.062163316,3.8729219,.51477522,-1.4659617,-.048805431,1.8721539,-.93684453,-1.2079307,.14150965,-.52369535,-1.069936,-.54801267,-1.0954641,-.48881808,-.47622171
.2167096,-1.2464302,-.226843,.94840604,1.8440204,3.8729219,.55033731,-1.0474555,.29398239,-.33864117,-1.0098418,-1.2070992,.1998779,-.5243398,-1.4031236,-.26875636,-1.0841445,-.70328635,-.35760444
-1.1888887,.59243762,-.226843,1.1487973,3.0805352,3.8729219,.58476645,.033673257,.095693417,-.31618789,-.84954447,-1.1133908,-.13006537,-.52128118,-1.2250262,-.22838387,-1.1025065,-.58864754,-.34045577
-3.4720707,1.9508708,-.226843,1.8148408,3.1650581,3.8729219,.72080219,.4467558,.2105168,-.6652891,-.83207041,-.78888452,-.038400281,-.51057017,-.80388117,.36637029,-1.0732126,-.31756219,-.087827228
-3.4720707,.92439741,-.226843,1.5472674,3.026355,3.5296607,.87175566,.33049777,.37609401,-.95498067,-.56494385,-.52247041,-.12212712,-.49543607,-.055770971,.72726345,-1.0714597,.16398609,.06546621
-.21984664,.17791939,-.226843,1.6385995,2.7434928,2.480346,1.0855933,1.2604111,.62378281,-1.0031035,-.71124858,-.13466029,-.23689145,-.49962398,.61750507,-.66540104,-1.0500683,.59736466,-.52608377
.38656926,1.2317581,-.226843,.43124273,-.4091523,.032220077,.013717396,.43736616,.90761709,-.014581009,-.16252126,.16458403,-.16948293,-.4013508,.7334488,.23091991,-.58598667,.67199606,-.1453613
.067336001,2.0208688,-.226843,-.1132816,-.4091523,.36878166,-.060769577,.11273178,1.0067443,.84502608,-.061063271,.18513744,-.10206661,-.40568012,.60056937,.066719778,-.63543177,.58646339,-.21510717
.15446788,1.086714,-.226843,-.53667206,-.4091523,.35374182,.010863559,-.88349479,1.05154,.17530648,-.36021724,.13057862,-.32678178,-.37821898,-.15524901,.64934492,-.66839093,.099953435,.032369427
.022920541,.77889228,-.226843,.12795851,-.4091523,.21061325,.16039269,.56140846,.64713126,-.32963249,-.22554669,.21068633,-.30149505,-.37129635,-.71568018,1.266784,-.63944703,-.26078844,.29463363
-1.2618507,.97770727,-.226843,-.75196409,-.4091523,.21122313,.29096252,.74125659,.91033894,-.24030393,-.19408607,.2675525,-.33224681,-.40538204,-.33281311,1.6347595,-.5487802,-.014342143,.45093542
-1.4449562,-.28425232,-.226843,-.59550482,-.4091523,.46251744,.27079895,-.015633233,.87201279,-.77445954,-.051283684,.26463029,-.31395712,-.49102873,.62898195,1.9671162,-.49091268,.60475218,.59210771
-1.5760943,-.051313188,-.226843,-.91035014,-.4091523,.36302769,.31279624,1.2604111,-.19614227,-1.0329472,-1.0384578,.61258417,.32803819,.062147796,1.0605223,.95152056,-.49358091,.88252878,.16072196
-1.4777403,-.29853278,-.226843,-1.1535171,-.4091523,.26904401,.33097279,.45470095,-.21873885,-1.0329472,-.98539358,.62787473,.2615301,1.1836007,-.45938221,3.1026397,-.48339722,-.095812947,1.2341752
-.89787185,1.2032764,-.226843,-1.1315511,-.4091523,.24016425,.34148374,.45873004,-.20282094,-1.0329472,-.95187968,.67168951,-.34338176,1.3895936,-2.1635835,1.999099,-.44948432,-1.4153235,.60569268
-.65154201,1.1663315,-.226843,-1.1871725,-.4091523,.22433509,.34447488,.37387222,-.3099544,-1.0329472,-.93165517,.69015527,-.36978412,1.2777332,-2.1635835,1.4708253,-.41303483,-1.9411917,.38130251
-1.2678903,1.4043261,-.226843,-1.1271837,-.4091523,.12021279,.42199314,1.2604111,.89525384,-1.0329472,-.92266983,.6927591,-.32237041,3.0130396,-2.1635835,2.775105,-.35035828,-1.6842899,.93531007
.29580888,-.035229553,-.226843,.29263899,-.4091523,-.59099448,1.2718507,.50286084,-1.4993354,-.16691142,2.1860414,.45476341,-.24229546,-.4822937,.42862174,-1.0442054,-.63608938,.47578305,-.68698519
.21817337,.18513092,-.226843,-.24905941,-.4091523,-.56524366,1.2680805,.53212863,-1.4092385,.22928832,2.1294601,.46261635,-.23531562,-.43355852,.32987854,-1.0455281,-.6082989,.4122234,-.68754697
.24229318,.17033026,-.226843,-.17198592,-.4091523,-.55410612,1.2873687,.28067648,-1.479773,.2220615,2.1314375,.43564478,-.36709127,-.43442616,.14808469,-1.0252247,-.52944362,.29520518,-.67892295
.34659103,.043753102,-.226843,.61390716,-.4091523,-.54727405,1.3067495,.46164253,-1.3654143,.068233438,2.1025159,.45281821,-.37098953,-.43593371,-.43337548,.03554932,-.61999333,-.079072759,-.22834717
.29069707,.11515326,-.226843,.66349107,-.4091523,-.54471779,1.3372072,.52074355,-1.3606565,.25607747,2.0799234,.46360654,-.36914057,-.48719779,-.72994894,-.16214736,-.68777615,-.26997304,-.31232107
.1840187,-.028190473,-.226843,.34903112,-.4091523,-.55674809,1.4289732,.34659469,-1.4524019,.31513244,1.867569,.43527338,-.28388798,-.49884668,-.71502328,-.17231891,-.66678214,-.26036561,-.31664154
.22979702,-.1767123,-.226843,.20413291,-.4091523,-.55482113,1.4571357,.32841337,-1.6249846,.23672529,1.9751261,.44563949,-.25845003,-.56308198,-.57987332,-.17966236,-.64370871,-.17337142,-.31976077
.20497413,-.18048282,-.226843,.43483961,-.4091523,-.54624695,1.4549863,.32348785,-1.5870491,.017749149,2.1950252,.45088089,.011650715,-.56408566,-.20042217,-.76325178,-.66232169,.070876092,-.56764698
-.0046111131,-.036350735,-.226843,.50638944,-.4091523,-.53774071,1.444543,.44216982,-1.6897084,-.0063530528,2.3036237,.44656888,.25068462,-.5468303,-.34797898,-.87284893,-.7381447,-.0241042,-.61419958
-.016540738,-.1602307,-.226843,.29559347,-.4091523,-.53928816,1.4632989,.51328772,-1.3721079,-.10090846,1.8932726,.42504242,-.32435396,-.5381391,-.561288,-.89081627,-.630409,-.16140829,-.62183142
-.32800424,-.29067999,-.226843,-.10120672,-.4091523,-.55606556,1.4754632,.3629615,-.66961968,-.40882117,1.6741998,.51116508,-.27408552,-.47550079,-.63893819,-.79841405,-.55146146,-.21139069,-.58258253
-.024056738,-.078880131,-.226843,-.10043599,-.4091523,-.56964397,1.4958376,.45965102,-.89438689,-.48441643,2.0719252,.51862228,-.30548722,-.47928524,-1.030948,-.7284978,-.57249266,-.46372205,-.55288482
-.088627465,.10456397,-.226843,-.28348553,-.4091523,-.57400304,1.4891748,.57332957,-.86875951,-.66203201,2.2581429,.52595103,-.35964164,-.47876018,-1.0265859,-.68567216,-.4203161,-.46091422,-.53469414
-.051992588,.10912687,-.226843,.63266152,-.4091523,-.60044664,1.6424148,.45719641,-.30435973,-.37983885,1.893567,.4589217,-.31593281,-.49529216,-.83739257,-.57983047,-.38483614,-.33913302,-.48973668
-.4520517,.27220586,-.226843,.84615529,-.4091523,.198147,-.0028833516,.27623963,-.21008268,-.039922748,-.48553422,-.1322798,-.32990089,-.29094338,.41088986,-.046392635,-1.1672471,.80430675,-.27655134
-1.887799,-.16113301,-.226843,.72283769,-.4091523,.47404811,.017637884,.55256367,-.13290451,-.33780006,-.41157719,-.069303676,-.28567728,-.25523707,-.3222675,-.26992336,-1.1672471,.40550393,-.29985169
-.73434025,.15927336,-.226843,1.6085408,-.4091523,.53259826,.067257293,.41243121,-.076006286,-.7204262,-.54654235,-.0087421006,-.33936083,-.23813325,-.49085343,-.65220571,-1.1672471,-.014450699,-.53098798
-1.482923,-.44610164,-.226843,2.1334116,-.4091523,.5083186,.14444947,.53904945,.39339224,-.91840976,-.4746868,.041141346,-.29479575,-.20817493,-.49106193,-.65513384,-1.1672471,-.25553805,-.59858346
-2.3014619,.57630211,-.226843,2.2143385,-.4091523,.46831098,.24658507,.75340754,-.014442559,-.98790538,-.45949423,.13220835,-.22914462,-.2755281,.045871496,-.12092381,-1.1331834,-.085574992,-.45296943
-3.3250213,.15690993,-.226843,2.2143385,-.4091523,.53567213,.31258947,.58446091,.13478169,-1.0329472,-.47405997,.1909339,-.23797233,-.31748661,.7586543,.2056137,-1.1136532,-.02402257,-.44732237
-2.8302231,-.23635247,-.226843,2.1957126,-.4091523,.60342085,.36000359,.74897122,.44146988,-1.0329472,-.40765974,.25833225,-.12253252,-.30860639,.90907001,-.15840855,-1.1228617,-.14990389,-.30049098
-3.4720707,.18512191,-.226843,2.2143385,-.4091523,.4697434,.4908061,.98091978,.42762619,-1.0329472,-.10419898,.31876448,.32427689,-.32127592,.97982144,-.79750234,-1.1225561,-.30591038,-.25699139
-3.4720707,-.42607784,-.226843,2.2143385,-.4091523,.38629118,.61141837,1.2604111,.48073882,-1.0329472,.12791596,.39290848,.24997517,-.31984791,.86661291,-.59172618,-1.0954641,-.48881808,-.47622171
-1.7327034,-.46005103,-.226843,2.2143385,-.4091523,.47109023,.6307801,1.2604111,.89671063,-1.0329472,.041985881,.50457013,.30348235,-.35709542,1.2094975,.24966726,-1.0841445,-.70328635,-.35760444
-3.2010474,.25559846,-.226843,2.2143385,-.4091523,.41139618,.72288102,1.2604111,1.042908,-1.0329472,-.064832985,.55285996,-.077034242,-.38366362,1.1080359,-.2122919,-1.1025065,-.58864754,-.34045577
-2.9632359,-.24916543,-.226843,2.1167123,-.4091523,.48622596,.75216764,1.2233204,.46796986,-1.0329472,.22061108,.61356187,-.0088727335,-.40474793,.80225414,-.30544633,-1.0732126,-.31756219,-.087827228
-.54288751,-.57506102,-.226843,2.0103507,-.4091523,.60554373,.75336081,1.1310438,.44950682,-1.0329472,.3051939,.68252289,-.091687724,-.41054925,.32063842,-.43418145,-1.0714597,.16398609,.06546621
-.10832035,-.086740255,-.226843,2.2143385,-.4091523,.67034721,.78232604,1.0186341,.3469286,-.99002087,.49248162,.6927591,-.2669436,-.40630099,-.40105924,-.47414067,-1.0500683,.59736466,-.52608377
.23667003,1.0005798,-.226843,.082485206,.097005285,-.60415506,-.84560949,.45591819,-.0079304753,-.35631093,-.37271863,.40563211,-.25255382,3.7549746,.80326194,-.6467604,-.62988079,1.4530871,.21241955
.24242787,.67057103,-.226843,-.044429164,.42789301,-.57773632,-.76851499,.41868889,.18886416,.19206496,-.3886596,.40224165,-.22724055,3.7549746,.49818414,-.69051653,-.65228981,.52055943,-.53675187
.1460443,-.097343288,-.226843,.24087122,.67750806,-.51262063,-.83252418,-.19935398,-.18716934,.08679679,-.32179284,.41969615,-.32464567,3.7549746,.26021105,-.81388879,-.60795784,.3673794,-.58915561
-.20256513,1.1431544,-.226843,-.40320647,.61271024,-.47329918,-.77822495,.21295583,-.35815591,.18656455,-.38776061,.41881731,-.25774914,3.7549746,-.27468899,-.4330276,-.5873974,.023071557,-.4273805
-.020916946,.8628214,-.226843,.11601216,.41169512,-.46271098,-.67866111,.38729984,-.058486197,-.14286529,-.57253414,.40676263,-.28614849,3.7549746,-.35335764,-.47590396,-.57877362,-.027566386,-.44559273
.32636771,.65028572,-.226843,-.51110941,.34637105,-.45358631,-.59004277,.56852907,-.17829497,-.7068128,-.58252531,.4153676,-.17184167,3.7549746,-.0047332668,.10594162,-.73719883,.19683836,-.19844726
.23053838,2.1397848,-.226843,.15840255,.44786572,-.43891943,-.52959251,.46695116,.038714048,-.6306529,-.56291825,.4263542,-.11588024,3.7549746,.51652354,.21179634,-.74031985,.53236425,-.15348427
.026763659,1.5614969,-.226843,-.62299442,.53754193,-.42298922,-.4995079,.020871351,.73062921,.29155612,-.63887823,.41096732,-.44395694,3.7549746,.77658129,-.59998548,-.62444186,.69975984,-.49829775
.22345573,1.8274132,-.226843,-.6102773,.59857225,-.40218419,-.53430784,.051802013,.32434526,-.19857059,-.62286335,.43332389,.60774374,3.7549746,-.022909982,.61753446,-.63520223,.18513826,.018857576
.29055339,2.1512563,-.226843,-.35375088,.48084161,-.38407168,-.55104256,.15124513,-.0075573088,-.63764209,-.56479323,.45622754,-.036060605,1.3698967,-.85242301,.16863218,-.59403217,-.3488079,-.17181873
.31453645,2.0071063,2.6078825,-.33062881,.30376062,-.42422053,-.4328151,.20544079,-.35329857,-.35211733,-.72867298,.41910613,.060126998,1.3813169,-1.1144671,-.28872296,-.59358519,-.51748216,-.3660855
.37094355,2.3875344,-.226843,-.60244143,.38995314,-.4314993,-.37746951,.22486642,-.14652635,-.0093943495,-.78867638,.4176333,1.1529902,1.3419702,-.69940883,.14552197,-.19420016,-.2503148,-.18163505
.3349098,2.1775918,-.226843,-.46987504,.43081659,-.4486163,-.3121908,.088131331,-.049507629,.21485515,-.66901433,.39743519,.46024865,.88029045,.33648929,-.14313349,-.19193712,.41647866,-.30424473
.29012015,1.8752605,-.226843,.017101103,.44539735,-.44452772,-.30405974,.10221683,-.37822527,.13244514,-.58413726,.40288341,-.19280149,.86669666,.52952117,-.60524505,-.15547697,.54073066,-.50053185
.21211287,.11033192,-.226843,-.76609421,-.4091523,-.54718339,.44778436,.50741255,-1.0594076,-.14638202,-.63212103,.39842075,.45438918,-.49289706,.61935353,-.36639956,2.2569849,.59855449,-.3990795
.14188302,.070875883,-.226843,-.68619466,-.4091523,-.50700164,.50542474,.49254405,-.7670086,.46036395,-.67150021,.38822722,4.5466242,-.49231362,.8737554,-.65220016,1.9471956,.76230949,-.52047652
.1301254,.13320187,-.226843,-.1641501,-.4091523,-.48555255,.53802812,.37608072,-.75592357,.14122604,-.70608515,.41987792,1.2982609,-.49341431,.93079591,-.91497159,1.9897425,.79902571,-.63209164
.096413672,-.10956804,-.226843,.16007254,-.4091523,-.48594689,.62565362,.44929805,-1.0733441,-.12262767,-.78650886,.41790307,.92889196,-.49337959,.26453584,.21176268,1.6557245,.3701632,-.15349856
-.064148806,-.018312784,-.226843,.02532234,-.4091523,-.46822992,.69206125,.54724032,-1.1363961,-.11453953,-.83909076,.42633802,.67362273,-.49375287,-.11396372,-.11219195,1.7517219,.12652822,-.29110193
.012666838,-.065812767,-.226843,.28647316,-.4091523,-.47109982,.79105574,.54361194,-1.3854663,-.2340003,-.8484962,.42856988,.12185426,-.49432358,-.028136911,-.045389924,1.6916746,.18177375,-.26272702
.044876605,-.12559649,-.226843,.19359949,-.4091523,-.46631354,.85815972,.54022157,-1.2224833,-.45737824,-.88379937,.45162806,-.20544088,-.49766964,.19024594,-.03782535,1.6272376,.32234383,-.25951388
.15314309,-.026508579,-.226843,-.12895316,-.4091523,-.44702885,.90580732,.56071711,-1.1338831,-.34041837,-.87514275,.45473838,-.30473176,-.49532628,.52995813,-.9633159,1.4358284,.54101193,-.65262645
-.039096586,.012420854,-.226843,.51923507,-.4091523,-.42872962,.9258824,.54490477,-1.1943572,-.25622809,-.85628211,.4761425,-.30371857,-.49231929,.35912549,-1.0093442,1.1933157,.43104926,-.67217749
.081241913,.030473016,-.226843,-.41669425,-.4091523,-.42627758,.96006262,.43445909,-.90392679,-.021917632,-.89617991,.48095125,-.31316933,-.49234036,.029916042,-.86356384,.52857852,.21914165,-.61025566
-.071737342,.15557982,-.226843,-.47488484,-.4091523,-.42610148,1.0104401,.5365845,-1.1224967,-.36392391,-.91837347,.5059182,-.33768049,-.49063736,-.28470218,-.66744351,.42256784,.016626198,-.52695131
-.25416926,.080531374,-.226843,-.021820953,-.4091523,-.42992842,1.0672519,.55258626,-1.3198127,-.1814471,-.91379499,.50735503,-.33979806,-.48962665,-.33491322,-.73781931,.58735925,-.015693963,-.55684423
-.293089,-.10609885,-.226843,-.48940036,-.4091523,-.43593317,1.1362398,.53710294,-1.3516748,-.36607179,-.84769905,.51063091,-.35558084,-.4858374,-.20027655,-.54472214,.6621576,.070969827,-.47482401
-.2901094,.2100362,-.226843,-.20936653,-.4091523,-.43115827,1.1636271,.51534063,-.91337425,-.53840023,-.89396745,.5348779,-.33041593,-.4848305,.048019376,-.75180149,.54917735,.23079452,-.5627833
.74735606,.74499714,-.226843,-1.4778681,-.4091523,-.61979806,-.40319493,-.98998278,-.9316901,.12473931,1.1596498,.1479464,-.40908182,-.36151767,-1.2904141,-.76400036,.96984488,-.63073677,-.56796491
.73894519,.1925078,-.226843,-1.4082451,-.4091523,-.60652012,-.40347111,-.19030729,-.75013882,.67084229,1.1675876,.15724787,-.3942655,-.35353735,-.49369907,.13765638,.6108464,-.11790223,-.18497606
